"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,-1825.2915,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,1899.9103,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,-433.3632,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,-1245.5605,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,5926.4574,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,5197.4888,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,3340.6278,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,5053.991,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,-4350.852,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,2054.8879,"E","Estimated value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,1920,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,3120,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,3746,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,4062,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,1325,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,364,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,2020,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,-637,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,-490,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,621,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,1284,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,1004,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,1877,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,170,,
